rsi_min,rsi_max,vol_min,dist_min,dist_max,adx_min,slope_min,st_dir_up,cmf_min,body_pct_min,close_gt_ma5,stoch_k_min,stoch_k_max,trades,win_rate,avg_pct,targets,stops,times
58,70,0.8,-5,0.0,15,0.2,True,,,True,30.0,80.0,19,57.89473684210527,2.324313605205448,3,1,15
58,70,0.8,-5,0.0,15,0.2,True,,,True,40.0,80.0,19,57.89473684210527,2.324313605205448,3,1,15
58,70,0.8,-5,0.0,15,0.2,True,,0.3,False,,,46,56.52173913043478,0.9892032627850478,4,7,35
58,70,0.8,-5,0.0,15,0.2,True,,0.3,False,30.0,80.0,19,57.89473684210527,2.324313605205448,3,1,15
58,70,0.8,-5,0.0,15,0.2,True,,0.3,False,40.0,80.0,19,57.89473684210527,2.324313605205448,3,1,15
58,70,0.8,-5,0.0,15,0.2,True,,0.3,True,,,46,56.52173913043478,0.9892032627850478,4,7,35
58,70,0.8,-5,0.0,15,0.2,True,,0.3,True,30.0,80.0,19,57.89473684210527,2.324313605205448,3,1,15
58,70,0.8,-5,0.0,15,0.2,True,,0.3,True,40.0,80.0,19,57.89473684210527,2.324313605205448,3,1,15
58,70,0.8,-5,0.0,15,0.2,True,,0.5,False,,,46,56.52173913043478,0.9892032627850478,4,7,35
58,70,0.8,-5,0.0,15,0.2,True,,0.5,False,30.0,80.0,18,55.55555555555556,1.786775472161306,2,1,15
58,70,0.8,-5,0.0,15,0.2,True,,0.5,False,40.0,80.0,18,55.55555555555556,1.786775472161306,2,1,15
58,70,0.8,-5,0.0,15,0.2,True,,0.5,True,,,46,56.52173913043478,0.9892032627850478,4,7,35
58,70,0.8,-5,0.0,15,0.2,True,,0.5,True,30.0,80.0,18,55.55555555555556,1.786775472161306,2,1,15
58,70,0.8,-5,0.0,15,0.2,True,,0.5,True,40.0,80.0,18,55.55555555555556,1.786775472161306,2,1,15
58,70,0.8,-5,0.0,15,0.2,True,0.0,,False,,,42,57.14285714285714,0.883550365837884,3,7,32
58,70,0.8,-5,0.0,15,0.2,True,0.0,,False,30.0,80.0,15,53.333333333333336,1.5439227668707578,1,1,13
58,70,0.8,-5,0.0,15,0.2,True,0.0,,False,40.0,80.0,15,53.333333333333336,1.5439227668707578,1,1,13
58,70,0.8,-5,0.0,15,0.2,True,0.0,,True,,,42,57.14285714285714,0.883550365837884,3,7,32
58,70,0.8,-5,0.0,15,0.2,True,0.0,,True,30.0,80.0,15,53.333333333333336,1.5439227668707578,1,1,13
58,70,0.8,-5,0.0,15,0.2,True,0.0,,True,40.0,80.0,15,53.333333333333336,1.5439227668707578,1,1,13
58,70,0.8,-5,0.0,15,0.2,True,0.0,0.3,False,,,42,57.14285714285714,0.883550365837884,3,7,32
58,70,0.8,-5,0.0,15,0.2,True,0.0,0.3,False,30.0,80.0,15,53.333333333333336,1.5439227668707578,1,1,13
58,70,0.8,-5,0.0,15,0.2,True,0.0,0.3,False,40.0,80.0,15,53.333333333333336,1.5439227668707578,1,1,13
58,70,0.8,-5,0.0,15,0.2,True,0.0,0.3,True,,,42,57.14285714285714,0.883550365837884,3,7,32
58,70,0.8,-5,0.0,15,0.2,True,0.0,0.3,True,30.0,80.0,15,53.333333333333336,1.5439227668707578,1,1,13
58,70,0.8,-5,0.0,15,0.2,True,0.0,0.3,True,40.0,80.0,15,53.333333333333336,1.5439227668707578,1,1,13
58,70,0.8,-5,0.0,15,0.2,True,0.0,0.5,False,,,42,57.14285714285714,0.883550365837884,3,7,32
58,70,0.8,-5,0.0,15,0.2,True,0.0,0.5,False,30.0,80.0,15,53.333333333333336,1.5439227668707578,1,1,13
58,70,0.8,-5,0.0,15,0.2,True,0.0,0.5,False,40.0,80.0,15,53.333333333333336,1.5439227668707578,1,1,13
58,70,0.8,-5,0.0,15,0.2,True,0.0,0.5,True,,,42,57.14285714285714,0.883550365837884,3,7,32
58,70,0.8,-5,0.0,15,0.2,True,0.0,0.5,True,30.0,80.0,15,53.333333333333336,1.5439227668707578,1,1,13
58,70,0.8,-5,0.0,15,0.2,True,0.0,0.5,True,40.0,80.0,15,53.333333333333336,1.5439227668707578,1,1,13
58,70,0.8,-5,0.0,15,0.2,True,0.05,,False,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.2,True,0.05,,False,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.2,True,0.05,,False,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.2,True,0.05,,True,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.2,True,0.05,,True,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.2,True,0.05,,True,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.2,True,0.05,0.3,False,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.2,True,0.05,0.3,False,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.2,True,0.05,0.3,False,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.2,True,0.05,0.3,True,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.2,True,0.05,0.3,True,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.2,True,0.05,0.3,True,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.2,True,0.05,0.5,False,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.2,True,0.05,0.5,False,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.2,True,0.05,0.5,False,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.2,True,0.05,0.5,True,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.2,True,0.05,0.5,True,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.2,True,0.05,0.5,True,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.2,True,0.1,,False,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.2,True,0.1,,False,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.2,True,0.1,,False,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.2,True,0.1,,True,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.2,True,0.1,,True,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.2,True,0.1,,True,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.2,True,0.1,0.3,False,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.2,True,0.1,0.3,False,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.2,True,0.1,0.3,False,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.2,True,0.1,0.3,True,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.2,True,0.1,0.3,True,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.2,True,0.1,0.3,True,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.2,True,0.1,0.5,False,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.2,True,0.1,0.5,False,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.2,True,0.1,0.5,False,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.2,True,0.1,0.5,True,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.2,True,0.1,0.5,True,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.2,True,0.1,0.5,True,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,False,,,False,,,43,53.48837209302325,0.6047593034235704,3,7,33
58,70,0.8,-5,0.0,15,0.5,False,,,False,30.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,False,,,False,40.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,False,,,True,,,43,53.48837209302325,0.6047593034235704,3,7,33
58,70,0.8,-5,0.0,15,0.5,False,,,True,30.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,False,,,True,40.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,False,,0.3,False,,,43,53.48837209302325,0.6047593034235704,3,7,33
58,70,0.8,-5,0.0,15,0.5,False,,0.3,False,30.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,False,,0.3,False,40.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,False,,0.3,True,,,43,53.48837209302325,0.6047593034235704,3,7,33
58,70,0.8,-5,0.0,15,0.5,False,,0.3,True,30.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,False,,0.3,True,40.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,False,,0.5,False,,,43,53.48837209302325,0.6047593034235704,3,7,33
58,70,0.8,-5,0.0,15,0.5,False,,0.5,False,30.0,80.0,17,52.94117647058824,1.4756631948663643,2,1,14
58,70,0.8,-5,0.0,15,0.5,False,,0.5,False,40.0,80.0,17,52.94117647058824,1.4756631948663643,2,1,14
58,70,0.8,-5,0.0,15,0.5,False,,0.5,True,,,43,53.48837209302325,0.6047593034235704,3,7,33
58,70,0.8,-5,0.0,15,0.5,False,,0.5,True,30.0,80.0,17,52.94117647058824,1.4756631948663643,2,1,14
58,70,0.8,-5,0.0,15,0.5,False,,0.5,True,40.0,80.0,17,52.94117647058824,1.4756631948663643,2,1,14
58,70,0.8,-5,0.0,15,0.5,False,0.0,,False,,,39,53.84615384615385,0.45154911087929367,2,7,30
58,70,0.8,-5,0.0,15,0.5,False,0.0,,False,30.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,False,0.0,,False,40.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,False,0.0,,True,,,39,53.84615384615385,0.45154911087929367,2,7,30
58,70,0.8,-5,0.0,15,0.5,False,0.0,,True,30.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,False,0.0,,True,40.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,False,0.0,0.3,False,,,39,53.84615384615385,0.45154911087929367,2,7,30
58,70,0.8,-5,0.0,15,0.5,False,0.0,0.3,False,30.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,False,0.0,0.3,False,40.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,False,0.0,0.3,True,,,39,53.84615384615385,0.45154911087929367,2,7,30
58,70,0.8,-5,0.0,15,0.5,False,0.0,0.3,True,30.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,False,0.0,0.3,True,40.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,False,0.0,0.5,False,,,39,53.84615384615385,0.45154911087929367,2,7,30
58,70,0.8,-5,0.0,15,0.5,False,0.0,0.5,False,30.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,False,0.0,0.5,False,40.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,False,0.0,0.5,True,,,39,53.84615384615385,0.45154911087929367,2,7,30
58,70,0.8,-5,0.0,15,0.5,False,0.0,0.5,True,30.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,False,0.0,0.5,True,40.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,False,0.05,,False,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.5,False,0.05,,False,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,False,0.05,,False,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,False,0.05,,True,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.5,False,0.05,,True,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,False,0.05,,True,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,False,0.05,0.3,False,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.5,False,0.05,0.3,False,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,False,0.05,0.3,False,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,False,0.05,0.3,True,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.5,False,0.05,0.3,True,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,False,0.05,0.3,True,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,False,0.05,0.5,False,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.5,False,0.05,0.5,False,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,False,0.05,0.5,False,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,False,0.05,0.5,True,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.5,False,0.05,0.5,True,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,False,0.05,0.5,True,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,False,0.1,,False,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.5,False,0.1,,False,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,False,0.1,,False,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,False,0.1,,True,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.5,False,0.1,,True,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,False,0.1,,True,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,False,0.1,0.3,False,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.5,False,0.1,0.3,False,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,False,0.1,0.3,False,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,False,0.1,0.3,True,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.5,False,0.1,0.3,True,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,False,0.1,0.3,True,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,False,0.1,0.5,False,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.5,False,0.1,0.5,False,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,False,0.1,0.5,False,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,False,0.1,0.5,True,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.5,False,0.1,0.5,True,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,False,0.1,0.5,True,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,True,,,False,,,42,54.761904761904766,0.6910421417839551,3,7,32
58,70,0.8,-5,0.0,15,0.5,True,,,False,30.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,True,,,False,40.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,True,,,True,,,42,54.761904761904766,0.6910421417839551,3,7,32
58,70,0.8,-5,0.0,15,0.5,True,,,True,30.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,True,,,True,40.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,True,,0.3,False,,,42,54.761904761904766,0.6910421417839551,3,7,32
58,70,0.8,-5,0.0,15,0.5,True,,0.3,False,30.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,True,,0.3,False,40.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,True,,0.3,True,,,42,54.761904761904766,0.6910421417839551,3,7,32
58,70,0.8,-5,0.0,15,0.5,True,,0.3,True,30.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,True,,0.3,True,40.0,80.0,18,55.55555555555556,2.0603485729293443,3,1,14
58,70,0.8,-5,0.0,15,0.5,True,,0.5,False,,,42,54.761904761904766,0.6910421417839551,3,7,32
58,70,0.8,-5,0.0,15,0.5,True,,0.5,False,30.0,80.0,17,52.94117647058824,1.4756631948663643,2,1,14
58,70,0.8,-5,0.0,15,0.5,True,,0.5,False,40.0,80.0,17,52.94117647058824,1.4756631948663643,2,1,14
58,70,0.8,-5,0.0,15,0.5,True,,0.5,True,,,42,54.761904761904766,0.6910421417839551,3,7,32
58,70,0.8,-5,0.0,15,0.5,True,,0.5,True,30.0,80.0,17,52.94117647058824,1.4756631948663643,2,1,14
58,70,0.8,-5,0.0,15,0.5,True,,0.5,True,40.0,80.0,17,52.94117647058824,1.4756631948663643,2,1,14
58,70,0.8,-5,0.0,15,0.5,True,0.0,,False,,,38,55.26315789473685,0.5428825061053958,2,7,29
58,70,0.8,-5,0.0,15,0.5,True,0.0,,False,30.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,True,0.0,,False,40.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,True,0.0,,True,,,38,55.26315789473685,0.5428825061053958,2,7,29
58,70,0.8,-5,0.0,15,0.5,True,0.0,,True,30.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,True,0.0,,True,40.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,True,0.0,0.3,False,,,38,55.26315789473685,0.5428825061053958,2,7,29
58,70,0.8,-5,0.0,15,0.5,True,0.0,0.3,False,30.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,True,0.0,0.3,False,40.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,True,0.0,0.3,True,,,38,55.26315789473685,0.5428825061053958,2,7,29
58,70,0.8,-5,0.0,15,0.5,True,0.0,0.3,True,30.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,True,0.0,0.3,True,40.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,True,0.0,0.5,False,,,38,55.26315789473685,0.5428825061053958,2,7,29
58,70,0.8,-5,0.0,15,0.5,True,0.0,0.5,False,30.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,True,0.0,0.5,False,40.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,True,0.0,0.5,True,,,38,55.26315789473685,0.5428825061053958,2,7,29
58,70,0.8,-5,0.0,15,0.5,True,0.0,0.5,True,30.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,True,0.0,0.5,True,40.0,80.0,14,50.0,1.1487969512061462,1,1,12
58,70,0.8,-5,0.0,15,0.5,True,0.05,,False,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.5,True,0.05,,False,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,True,0.05,,False,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,True,0.05,,True,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.5,True,0.05,,True,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,True,0.05,,True,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,True,0.05,0.3,False,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.5,True,0.05,0.3,False,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,True,0.05,0.3,False,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,True,0.05,0.3,True,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.5,True,0.05,0.3,True,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,True,0.05,0.3,True,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,True,0.05,0.5,False,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.5,True,0.05,0.5,False,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,True,0.05,0.5,False,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,True,0.05,0.5,True,,,29,58.620689655172406,0.5558837406598719,1,6,22
58,70,0.8,-5,0.0,15,0.5,True,0.05,0.5,True,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,True,0.05,0.5,True,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.5,True,0.1,,False,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.5,True,0.1,,False,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,True,0.1,,False,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,True,0.1,,True,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.5,True,0.1,,True,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,True,0.1,,True,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,True,0.1,0.3,False,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.5,True,0.1,0.3,False,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,True,0.1,0.3,False,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,True,0.1,0.3,True,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.5,True,0.1,0.3,True,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,True,0.1,0.3,True,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,True,0.1,0.5,False,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.5,True,0.1,0.5,False,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,True,0.1,0.5,False,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,True,0.1,0.5,True,,,24,58.333333333333336,0.5285758184448742,1,6,17
58,70,0.8,-5,0.0,15,0.5,True,0.1,0.5,True,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.5,True,0.1,0.5,True,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,20,0.0,False,,,False,,,42,57.14285714285714,1.1304619692266489,4,7,31
58,70,0.8,-5,0.0,20,0.0,False,,,False,30.0,80.0,19,52.63157894736842,1.7995146905081298,3,1,15
58,70,0.8,-5,0.0,20,0.0,False,,,False,40.0,80.0,19,52.63157894736842,1.7995146905081298,3,1,15
58,70,0.8,-5,0.0,20,0.0,False,,,True,,,42,57.14285714285714,1.1304619692266489,4,7,31
58,70,0.8,-5,0.0,20,0.0,False,,,True,30.0,80.0,19,52.63157894736842,1.7995146905081298,3,1,15
58,70,0.8,-5,0.0,20,0.0,False,,,True,40.0,80.0,19,52.63157894736842,1.7995146905081298,3,1,15
58,70,0.8,-5,0.0,20,0.0,False,,0.3,False,,,42,57.14285714285714,1.1304619692266489,4,7,31
58,70,0.8,-5,0.0,20,0.0,False,,0.3,False,30.0,80.0,19,52.63157894736842,1.7995146905081298,3,1,15
58,70,0.8,-5,0.0,20,0.0,False,,0.3,False,40.0,80.0,19,52.63157894736842,1.7995146905081298,3,1,15
58,70,0.8,-5,0.0,20,0.0,False,,0.3,True,,,42,57.14285714285714,1.1304619692266489,4,7,31
58,70,0.8,-5,0.0,20,0.0,False,,0.3,True,30.0,80.0,19,52.63157894736842,1.7995146905081298,3,1,15
58,70,0.8,-5,0.0,20,0.0,False,,0.3,True,40.0,80.0,19,52.63157894736842,1.7995146905081298,3,1,15
58,70,0.8,-5,0.0,20,0.0,False,,0.5,False,,,42,57.14285714285714,1.1304619692266489,4,7,31
